Row,Timestamp,GreenLane,L1_Score,L2_Score,L3_Score,L4_Score,L1_Queue,L2_Queue,L3_Queue,L4_Queue,GreenDuration,NightMode,Emergency,EmergencyVehicle
0,08:00:00,Lane 3,12,12,3,2,12,12,3,2,5,NO,NO,-
5,08:00:50,Lane 1,33,30,0,13,33,30,0,13,10,NO,NO,-
15,08:02:30,Lane 2,0,66,35,38,0,66,35,38,6,NO,YES,AMBULANCE
21,08:03:30,Lane 4,27,21,55,58,27,21,55,58,10,NO,NO,AMBULANCE
31,08:05:10,Lane 3,74,53,90,2,74,53,90,2,10,NO,NO,-
41,08:06:50,Lane 1,133,95,6,52,133,95,6,52,10,NO,NO,-
51,08:08:30,Lane 2,43,131,52,113,43,131,52,113,10,NO,NO,-
57,08:09:30,Lane 4,71,71,77,138,71,71,77,138,6,NO,YES,FIRE
63,08:10:30,Lane 3,100,107,104,78,100,107,104,78,10,NO,NO,FIRE
73,08:12:10,Lane 2,145,162,20,131,145,162,20,131,10,NO,NO,-
83,08:13:50,Lane 1,182,62,64,162,182,62,64,162,10,NO,NO,-
93,08:15:30,Lane 4,88,101,102,214,88,101,102,214,10,NO,NO,-
103,08:17:10,Lane 3,132,143,158,123,132,143,158,123,10,NO,NO,-
105,08:17:30,Lane 2,147,147,138,131,147,147,138,131,6,NO,YES,POLICE
111,08:18:30,Lane 1,177,90,159,168,177,90,159,168,10,NO,NO,POLICE
117,08:19:30,Lane 4,117,117,195,195,117,117,195,195,6,NO,YES,AMBULANCE
123,08:20:30,Lane 3,149,151,229,141,149,151,229,141,10,NO,NO,AMBULANCE
129,08:21:30,Lane 4,181,178,169,177,181,178,169,177,6,NO,YES,POLICE
135,08:22:30,Lane 1,212,199,201,123,212,199,201,123,10,NO,NO,FIRE
142,08:23:40,Lane 1,144,227,231,154,144,227,231,154,6,NO,YES,AMBULANCE
148,08:24:40,Lane 2,102,248,256,180,102,248,256,180,10,NO,NO,AMBULANCE
158,08:26:20,Lane 3,152,148,298,234,152,148,298,234,10,NO,NO,-
168,08:28:00,Lane 4,199,200,198,285,199,200,198,285,10,NO,NO,-
173,08:28:50,Lane 1,219,228,226,235,219,228,226,235,6,NO,YES,FIRE
179,08:29:50,Lane 2,159,267,253,262,159,267,253,262,10,NO,NO,POLICE
182,08:30:20,Lane 3,168,237,268,279,168,237,268,279,6,NO,YES,POLICE
188,08:31:20,Lane 4,198,264,208,311,198,264,208,311,10,NO,NO,POLICE
197,08:32:50,Lane 3,235,323,253,221,235,323,253,221,6,NO,YES,FIRE
203,08:33:50,Lane 2,262,356,202,249,262,356,202,249,10,NO,NO,FIRE
213,08:35:30,Lane 1,316,256,247,297,316,256,247,297,10,NO,NO,-
223,08:37:10,Lane 4,216,305,297,349,216,305,297,349,10,NO,NO,-
231,08:38:30,Lane 1,259,347,332,272,259,347,332,272,6,NO,YES,POLICE
237,08:39:30,Lane 2,202,373,361,309,202,373,361,309,10,NO,NO,POLICE
241,08:40:10,Lane 4,232,333,377,326,232,333,377,326,6,NO,YES,AMBULANCE
247,08:41:10,Lane 3,265,362,413,272,265,362,413,272,10,NO,NO,FIRE
251,08:41:50,Lane 3,293,392,373,286,293,392,373,286,6,NO,YES,FIRE
257,08:42:50,Lane 2,306,436,313,311,306,436,313,311,10,NO,NO,FIRE
260,08:43:20,Lane 4,324,406,330,324,324,406,330,324,6,NO,YES,FIRE
266,08:44:20,Lane 2,358,449,362,279,358,449,362,279,10,NO,NO,FIRE
276,08:46:00,Lane 3,389,349,408,327,389,349,408,327,10,NO,NO,-
283,08:47:10,Lane 1,418,377,338,368,418,377,338,368,6,NO,YES,AMBULANCE
289,08:48:10,Lane 2,358,410,366,403,358,410,366,403,10,NO,NO,AMBULANCE
297,08:49:30,Lane 2,402,330,389,443,402,330,389,443,6,NO,YES,POLICE
303,08:50:30,Lane 4,425,273,410,470,425,273,410,470,10,NO,NO,POLICE
308,08:51:20,Lane 3,456,286,438,420,456,286,438,420,6,NO,YES,AMBULANCE
314,08:52:20,Lane 1,487,317,378,444,487,317,378,444,10,NO,NO,AMBULANCE
315,08:52:30,Lane 3,477,321,386,446,477,321,386,446,6,NO,YES,FIRE
321,08:53:30,Lane 1,503,343,335,475,503,343,335,475,10,NO,NO,POLICE
331,08:55:10,Lane 4,403,391,376,520,403,391,376,520,10,NO,NO,-
337,08:56:10,Lane 3,429,424,408,460,429,424,408,460,6,NO,YES,POLICE
343,08:57:10,Lane 4,455,445,348,494,455,445,348,494,10,NO,NO,POLICE
353,08:58:50,Lane 1,515,481,404,412,515,481,404,412,10,NO,NO,-
363,09:00:30,Lane 2,415,544,453,461,415,544,453,461,10,NO,NO,-
368,09:01:20,Lane 1,453,494,487,484,453,494,487,484,6,NO,YES,AMBULANCE
374,09:02:20,Lane 3,393,527,518,510,393,527,518,510,10,NO,NO,AMBULANCE
384,09:04:00,Lane 2,432,567,421,548,432,567,421,548,10,NO,NO,-
394,09:05:40,Lane 4,479,467,457,594,479,467,457,594,10,NO,NO,-
404,09:07:20,Lane 1,510,512,508,494,510,512,508,494,10,NO,NO,-
412,09:08:40,Lane 2,430,552,540,530,430,552,540,530,6,NO,YES,POLICE
418,09:09:40,Lane 3,460,492,562,572,460,492,562,572,10,NO,NO,FIRE
423,09:10:30,Lane 3,489,516,512,597,489,516,512,597,6,NO,YES,FIRE
429,09:11:30,Lane 4,520,541,455,638,520,541,455,638,10,NO,NO,POLICE
438,09:13:00,Lane 2,568,584,504,548,568,584,504,548,6,NO,YES,POLICE
444,09:14:00,Lane 1,603,524,530,581,603,524,530,581,10,NO,NO,FIRE
454,09:15:40,Lane 4,503,559,572,629,503,559,572,629,10,NO,NO,-
464,09:17:20,Lane 3,556,613,621,532,556,613,621,532,10,NO,NO,-
467,09:17:50,Lane 3,573,629,591,548,573,629,591,548,6,NO,YES,AMBULANCE
473,09:18:50,Lane 2,603,655,531,582,603,655,531,582,10,NO,NO,AMBULANCE
480,09:20:00,Lane 1,631,585,552,620,631,585,552,620,6,NO,YES,POLICE
486,09:21:00,Lane 4,571,615,586,651,571,615,586,651,10,NO,NO,POLICE
496,09:22:40,Lane 2,629,662,646,566,629,662,646,566,10,NO,NO,-
0,08:00:00,Lane 3,12,12,3,2,12,12,3,2,5,NO,NO,-
5,08:00:50,Lane 1,33,30,0,13,33,30,0,13,10,NO,NO,-
15,08:02:30,Lane 2,0,66,35,38,0,66,35,38,6,NO,YES,AMBULANCE
21,08:03:30,Lane 4,27,21,55,58,27,21,55,58,10,NO,NO,AMBULANCE
31,08:05:10,Lane 3,74,53,90,2,74,53,90,2,10,NO,NO,-
41,08:06:50,Lane 1,133,95,6,52,133,95,6,52,10,NO,NO,-
51,08:08:30,Lane 2,43,131,52,113,43,131,52,113,10,NO,NO,-
57,08:09:30,Lane 4,71,71,77,138,71,71,77,138,6,NO,YES,FIRE
63,08:10:30,Lane 3,100,107,104,78,100,107,104,78,10,NO,NO,FIRE
73,08:12:10,Lane 2,145,162,20,131,145,162,20,131,10,NO,NO,-
83,08:13:50,Lane 1,182,62,64,162,182,62,64,162,10,NO,NO,-
93,08:15:30,Lane 4,88,101,102,214,88,101,102,214,10,NO,NO,-
103,08:17:10,Lane 3,132,143,158,123,132,143,158,123,10,NO,NO,-
105,08:17:30,Lane 2,147,147,138,131,147,147,138,131,6,NO,YES,POLICE
111,08:18:30,Lane 1,177,90,159,168,177,90,159,168,10,NO,NO,POLICE
117,08:19:30,Lane 4,117,117,195,195,117,117,195,195,6,NO,YES,AMBULANCE
123,08:20:30,Lane 3,149,151,229,141,149,151,229,141,10,NO,NO,AMBULANCE
129,08:21:30,Lane 4,181,178,169,177,181,178,169,177,6,NO,YES,POLICE
135,08:22:30,Lane 1,212,199,201,123,212,199,201,123,10,NO,NO,FIRE
142,08:23:40,Lane 1,144,227,231,154,144,227,231,154,6,NO,YES,AMBULANCE
148,08:24:40,Lane 2,102,248,256,180,102,248,256,180,10,NO,NO,AMBULANCE
158,08:26:20,Lane 3,152,148,298,234,152,148,298,234,10,NO,NO,-
168,08:28:00,Lane 4,199,200,198,285,199,200,198,285,10,NO,NO,-
173,08:28:50,Lane 1,219,228,226,235,219,228,226,235,6,NO,YES,FIRE
