Row,Timestamp,GreenLane,L1_Score,L2_Score,L3_Score,L4_Score,L1_Queue,L2_Queue,L3_Queue,L4_Queue,GreenDuration,NightMode,Emergency
0,08:00:00,Lane 1,2,12,15,2,2,12,15,2,5,NO,NO
3,08:00:30,Lane 3,0,25,22,5,0,25,22,5,6,NO,YES
9,08:01:30,Lane 2,24,44,0,21,24,44,0,21,30,NO,NO
12,08:02:00,Lane 1,37,17,13,28,37,17,13,28,6,NO,YES
18,08:03:00,Lane 4,3,41,35,48,3,41,35,48,30,NO,NO
19,08:03:10,Lane 3,7,42,39,38,7,42,39,38,6,NO,YES
25,08:04:10,Lane 2,33,64,0,58,33,64,0,58,30,NO,NO
26,08:04:20,Lane 1,36,54,1,59,36,54,1,59,6,NO,YES
