Row,Timestamp,GreenLane,L1_Score,L2_Score,L3_Score,L4_Score,L1_Queue,L2_Queue,L3_Queue,L4_Queue,GreenDuration,NightMode,Emergency,EmergencyVehicle
0,08:00:00,Lane 3,12,12,3,2,12,12,3,2,5,NO,NO,-
5,08:00:50,Lane 1,33,30,0,13,33,30,0,13,10,NO,NO,-
15,08:02:30,Lane 2,0,66,35,38,0,66,35,38,6,NO,YES,AMBULANCE
21,08:03:30,Lane 4,27,21,55,58,27,21,55,58,10,NO,NO,AMBULANCE
31,08:05:10,Lane 3,74,53,90,2,74,53,90,2,10,NO,NO,-
41,08:06:50,Lane 1,133,95,6,52,133,95,6,52,10,NO,NO,-
51,08:08:30,Lane 2,43,131,52,113,43,131,52,113,10,NO,NO,-
57,08:09:30,Lane 4,71,71,77,138,71,71,77,138,6,NO,YES,FIRE
63,08:10:30,Lane 3,100,107,104,78,100,107,104,78,10,NO,NO,FIRE
73,08:12:10,Lane 2,145,162,20,131,145,162,20,131,10,NO,NO,-
83,08:13:50,Lane 1,182,62,64,162,182,62,64,162,10,NO,NO,-
93,08:15:30,Lane 4,88,101,102,214,88,101,102,214,10,NO,NO,-
103,08:17:10,Lane 3,132,143,158,123,132,143,158,123,10,NO,NO,-
105,08:17:30,Lane 2,147,147,138,131,147,147,138,131,6,NO,YES,POLICE
111,08:18:30,Lane 1,177,90,159,168,177,90,159,168,10,NO,NO,POLICE
117,08:19:30,Lane 4,117,117,195,195,117,117,195,195,6,NO,YES,AMBULANCE
123,08:20:30,Lane 3,149,151,229,141,149,151,229,141,10,NO,NO,AMBULANCE
129,08:21:30,Lane 4,181,178,169,177,181,178,169,177,6,NO,YES,POLICE
135,08:22:30,Lane 1,212,199,201,123,212,199,201,123,10,NO,NO,FIRE
142,08:23:40,Lane 1,144,227,231,154,144,227,231,154,6,NO,YES,AMBULANCE
148,08:24:40,Lane 2,102,248,256,180,102,248,256,180,10,NO,NO,AMBULANCE
158,08:26:20,Lane 3,152,148,298,234,152,148,298,234,10,NO,NO,-
